sample_idx,phase,wall_ms
86,_process_static,37.737
87,_process_static,34.785
88,_process_static,98.373
89,_process_static,105.154
90,_process_static,70.299
91,_process_static,79.087
92,_process_static,39.785
93,_process_static,115.966
94,_process_static,86.623
95,_process_static,44.520
96,_process_static,121.880
97,_process_static,52.002
98,_process_static,54.755
99,_process_static,34.317
0,_extract_hilda_prior,0.402
1,_extract_hilda_prior,0.295
2,_extract_hilda_prior,0.245
3,_extract_hilda_prior,0.232
4,_extract_hilda_prior,0.236
5,_extract_hilda_prior,0.258
6,_extract_hilda_prior,0.249
7,_extract_hilda_prior,0.275
8,_extract_hilda_prior,0.265
9,_extract_hilda_prior,0.253
10,_extract_hilda_prior,0.265
11,_extract_hilda_prior,0.263
12,_extract_hilda_prior,0.274
13,_extract_hilda_prior,0.249
14,_extract_hilda_prior,0.263
15,_extract_hilda_prior,0.257
16,_extract_hilda_prior,0.251
17,_extract_hilda_prior,0.289
18,_extract_hilda_prior,0.262
19,_extract_hilda_prior,0.275
20,_extract_hilda_prior,0.262
21,_extract_hilda_prior,0.268
22,_extract_hilda_prior,0.269
23,_extract_hilda_prior,0.265
24,_extract_hilda_prior,0.250
25,_extract_hilda_prior,0.259
26,_extract_hilda_prior,0.253
27,_extract_hilda_prior,0.278
28,_extract_hilda_prior,0.267
29,_extract_hilda_prior,0.277
30,_extract_hilda_prior,0.252
31,_extract_hilda_prior,0.250
32,_extract_hilda_prior,0.247
33,_extract_hilda_prior,0.243
34,_extract_hilda_prior,0.262
35,_extract_hilda_prior,0.255
36,_extract_hilda_prior,0.262
37,_extract_hilda_prior,0.259
38,_extract_hilda_prior,0.263
39,_extract_hilda_prior,0.280
40,_extract_hilda_prior,0.270
41,_extract_hilda_prior,0.276
42,_extract_hilda_prior,0.257
43,_extract_hilda_prior,0.259
44,_extract_hilda_prior,0.278
45,_extract_hilda_prior,0.259
46,_extract_hilda_prior,0.247
47,_extract_hilda_prior,0.253
48,_extract_hilda_prior,0.261
49,_extract_hilda_prior,0.274
50,_extract_hilda_prior,0.252
51,_extract_hilda_prior,0.251
52,_extract_hilda_prior,0.273
53,_extract_hilda_prior,0.259
54,_extract_hilda_prior,0.268
55,_extract_hilda_prior,0.266
56,_extract_hilda_prior,0.282
57,_extract_hilda_prior,0.269
58,_extract_hilda_prior,0.267
59,_extract_hilda_prior,0.255
60,_extract_hilda_prior,0.284
61,_extract_hilda_prior,0.269
62,_extract_hilda_prior,0.288
63,_extract_hilda_prior,0.277
64,_extract_hilda_prior,0.280
65,_extract_hilda_prior,0.263
66,_extract_hilda_prior,0.275
67,_extract_hilda_prior,0.259
68,_extract_hilda_prior,0.295
69,_extract_hilda_prior,0.259
70,_extract_hilda_prior,0.296
71,_extract_hilda_prior,0.265
72,_extract_hilda_prior,0.259
73,_extract_hilda_prior,0.272
74,_extract_hilda_prior,0.287
75,_extract_hilda_prior,0.250
76,_extract_hilda_prior,0.271
77,_extract_hilda_prior,0.276
78,_extract_hilda_prior,0.274
79,_extract_hilda_prior,0.282
80,_extract_hilda_prior,0.265
81,_extract_hilda_prior,0.275
82,_extract_hilda_prior,0.271
83,_extract_hilda_prior,0.253
84,_extract_hilda_prior,0.268
85,_extract_hilda_prior,0.258
86,_extract_hilda_prior,0.262
87,_extract_hilda_prior,0.286
88,_extract_hilda_prior,0.255
89,_extract_hilda_prior,0.265
90,_extract_hilda_prior,0.277
91,_extract_hilda_prior,0.272
92,_extract_hilda_prior,0.260
93,_extract_hilda_prior,0.278
94,_extract_hilda_prior,0.259
95,_extract_hilda_prior,0.257
96,_extract_hilda_prior,0.281
97,_extract_hilda_prior,0.249
98,_extract_hilda_prior,0.256
99,_extract_hilda_prior,0.261
0,_extract_hilda_target,0.409
1,_extract_hilda_target,0.406
2,_extract_hilda_target,0.397
3,_extract_hilda_target,0.388
4,_extract_hilda_target,0.392
5,_extract_hilda_target,0.450
6,_extract_hilda_target,0.409
7,_extract_hilda_target,0.433
8,_extract_hilda_target,0.375
9,_extract_hilda_target,0.365
10,_extract_hilda_target,0.383
11,_extract_hilda_target,0.400
12,_extract_hilda_target,0.406
13,_extract_hilda_target,0.364
14,_extract_hilda_target,0.377
15,_extract_hilda_target,0.372
16,_extract_hilda_target,0.363
17,_extract_hilda_target,0.392
18,_extract_hilda_target,0.403
19,_extract_hilda_target,0.392
20,_extract_hilda_target,0.382
21,_extract_hilda_target,0.370
22,_extract_hilda_target,0.424
23,_extract_hilda_target,0.403
24,_extract_hilda_target,0.367
25,_extract_hilda_target,0.369
26,_extract_hilda_target,0.376
27,_extract_hilda_target,0.408
28,_extract_hilda_target,0.379
29,_extract_hilda_target,0.394
30,_extract_hilda_target,0.374
31,_extract_hilda_target,0.373
32,_extract_hilda_target,0.372
33,_extract_hilda_target,0.344
34,_extract_hilda_target,0.379
35,_extract_hilda_target,0.348
36,_extract_hilda_target,0.358
37,_extract_hilda_target,0.368
38,_extract_hilda_target,0.432
39,_extract_hilda_target,0.365
40,_extract_hilda_target,0.371
41,_extract_hilda_target,0.396
42,_extract_hilda_target,0.362
43,_extract_hilda_target,0.419
44,_extract_hilda_target,0.437
45,_extract_hilda_target,0.412
46,_extract_hilda_target,0.352
47,_extract_hilda_target,0.382
48,_extract_hilda_target,0.407
49,_extract_hilda_target,0.439
50,_extract_hilda_target,0.430
51,_extract_hilda_target,0.370
52,_extract_hilda_target,0.404
53,_extract_hilda_target,0.376
54,_extract_hilda_target,0.396
55,_extract_hilda_target,0.371
56,_extract_hilda_target,0.433
57,_extract_hilda_target,0.415
58,_extract_hilda_target,0.445
59,_extract_hilda_target,0.359
60,_extract_hilda_target,0.364
61,_extract_hilda_target,0.401
62,_extract_hilda_target,0.453
63,_extract_hilda_target,0.393
64,_extract_hilda_target,0.404
65,_extract_hilda_target,0.387
66,_extract_hilda_target,0.385
67,_extract_hilda_target,0.370
68,_extract_hilda_target,0.457
69,_extract_hilda_target,0.385
70,_extract_hilda_target,0.417
71,_extract_hilda_target,0.381
72,_extract_hilda_target,0.402
73,_extract_hilda_target,0.418
74,_extract_hilda_target,0.417
75,_extract_hilda_target,0.369
76,_extract_hilda_target,0.401
77,_extract_hilda_target,0.455
78,_extract_hilda_target,0.402
79,_extract_hilda_target,0.437
80,_extract_hilda_target,0.414
81,_extract_hilda_target,0.429
82,_extract_hilda_target,0.428
83,_extract_hilda_target,0.377
84,_extract_hilda_target,0.381
85,_extract_hilda_target,0.382
86,_extract_hilda_target,0.401
87,_extract_hilda_target,0.453
88,_extract_hilda_target,0.393
89,_extract_hilda_target,0.402
90,_extract_hilda_target,0.403
91,_extract_hilda_target,0.377
92,_extract_hilda_target,0.395
93,_extract_hilda_target,0.436
94,_extract_hilda_target,0.380
95,_extract_hilda_target,0.387
96,_extract_hilda_target,0.407
97,_extract_hilda_target,0.354
98,_extract_hilda_target,0.372
99,_extract_hilda_target,0.424
0,_read_dynamic_isel,1.514
1,_read_dynamic_isel,1.749
2,_read_dynamic_isel,1.479
3,_read_dynamic_isel,1.371
4,_read_dynamic_isel,1.430
5,_read_dynamic_isel,2.328
6,_read_dynamic_isel,1.401
7,_read_dynamic_isel,1.337
8,_read_dynamic_isel,1.340
9,_read_dynamic_isel,1.403
10,_read_dynamic_isel,1.440
11,_read_dynamic_isel,1.389
12,_read_dynamic_isel,1.299
13,_read_dynamic_isel,1.336
14,_read_dynamic_isel,1.400
15,_read_dynamic_isel,1.447
16,_read_dynamic_isel,1.496
17,_read_dynamic_isel,1.457
18,_read_dynamic_isel,1.672
19,_read_dynamic_isel,1.544
20,_read_dynamic_isel,1.433
21,_read_dynamic_isel,1.354
22,_read_dynamic_isel,1.405
23,_read_dynamic_isel,1.469
24,_read_dynamic_isel,1.352
25,_read_dynamic_isel,1.554
26,_read_dynamic_isel,1.442
27,_read_dynamic_isel,1.429
28,_read_dynamic_isel,1.378
29,_read_dynamic_isel,1.499
30,_read_dynamic_isel,1.322
31,_read_dynamic_isel,1.486
32,_read_dynamic_isel,1.409
33,_read_dynamic_isel,1.387
34,_read_dynamic_isel,1.355
35,_read_dynamic_isel,1.362
36,_read_dynamic_isel,1.493
37,_read_dynamic_isel,1.373
38,_read_dynamic_isel,1.555
39,_read_dynamic_isel,1.487
40,_read_dynamic_isel,1.348
41,_read_dynamic_isel,1.529
42,_read_dynamic_isel,1.472
43,_read_dynamic_isel,1.494
44,_read_dynamic_isel,1.537
45,_read_dynamic_isel,1.376
46,_read_dynamic_isel,1.412
47,_read_dynamic_isel,1.334
48,_read_dynamic_isel,1.500
49,_read_dynamic_isel,1.491
50,_read_dynamic_isel,1.479
51,_read_dynamic_isel,1.315
52,_read_dynamic_isel,1.317
53,_read_dynamic_isel,1.327
54,_read_dynamic_isel,1.389
55,_read_dynamic_isel,1.388
56,_read_dynamic_isel,1.436
57,_read_dynamic_isel,1.504
58,_read_dynamic_isel,1.470
59,_read_dynamic_isel,1.401
60,_read_dynamic_isel,1.278
61,_read_dynamic_isel,1.405
62,_read_dynamic_isel,1.328
63,_read_dynamic_isel,1.309
64,_read_dynamic_isel,1.542
65,_read_dynamic_isel,1.334
66,_read_dynamic_isel,1.329
67,_read_dynamic_isel,1.355
68,_read_dynamic_isel,1.425
69,_read_dynamic_isel,1.390
70,_read_dynamic_isel,1.355
71,_read_dynamic_isel,1.330
72,_read_dynamic_isel,1.430
73,_read_dynamic_isel,1.343
74,_read_dynamic_isel,1.470
75,_read_dynamic_isel,1.306
76,_read_dynamic_isel,1.396
77,_read_dynamic_isel,1.583
78,_read_dynamic_isel,1.414
79,_read_dynamic_isel,1.487
80,_read_dynamic_isel,1.437
81,_read_dynamic_isel,1.405
82,_read_dynamic_isel,1.610
83,_read_dynamic_isel,1.317
84,_read_dynamic_isel,1.360
85,_read_dynamic_isel,1.549
86,_read_dynamic_isel,1.397
87,_read_dynamic_isel,1.451
88,_read_dynamic_isel,1.308
89,_read_dynamic_isel,1.367
90,_read_dynamic_isel,1.466
91,_read_dynamic_isel,1.480
92,_read_dynamic_isel,1.363
93,_read_dynamic_isel,1.468
94,_read_dynamic_isel,1.394
95,_read_dynamic_isel,1.537
96,_read_dynamic_isel,1.400
97,_read_dynamic_isel,1.479
98,_read_dynamic_isel,1.382
99,_read_dynamic_isel,1.384
0,_read_dynamic_to_numpy,2958.699
1,_read_dynamic_to_numpy,189.761
2,_read_dynamic_to_numpy,95.546
3,_read_dynamic_to_numpy,138.347
