phase,dataset,num_workers,idx,wall_ms
phase2,single,4,32,13907.22
phase2,single,4,33,0.15
phase2,single,4,34,0.12
phase2,single,4,35,0.12
phase2,single,4,36,28716.72
phase2,single,4,37,0.17
phase2,single,4,38,0.31
phase2,single,4,39,0.07
phase2,single,4,40,9834.59
phase2,single,4,41,0.21
phase2,single,4,42,0.08
phase2,single,4,43,0.02
phase2,single,4,44,10244.55
phase2,single,4,45,0.16
phase2,single,4,46,0.03
phase2,single,4,47,0.16
phase2,single,4,48,10347.04
phase2,single,4,49,0.22
phase2,single,4,50,0.20
phase2,single,4,51,0.08
phase2,single,4,52,9570.18
phase2,single,4,53,0.16
phase2,single,4,54,0.13
phase2,single,4,55,0.22
phase2,single,4,56,10188.08
phase2,single,4,57,0.07
phase2,single,4,58,0.12
phase2,single,4,59,0.17
phase2,single,4,60,9646.77
phase2,single,4,61,0.26
phase2,single,4,62,0.13
phase2,single,4,63,0.12
phase2,single,4,64,10326.34
phase2,single,4,65,0.09
phase2,single,4,66,0.03
phase2,single,4,67,0.21
phase2,single,4,68,10233.52
phase2,single,4,69,0.14
phase2,single,4,70,0.04
phase2,single,4,71,0.16
phase2,single,4,72,10897.95
phase2,single,4,73,0.27
phase2,single,4,74,0.03
phase2,single,4,75,0.16
phase2,single,4,76,10561.05
phase2,single,4,77,0.12
phase2,single,4,78,0.03
phase2,single,4,79,0.04
phase2,merged,4,0,1498.23
phase2,merged,4,1,338.71
phase2,merged,4,2,0.18
phase2,merged,4,3,0.12
phase2,merged,4,4,852.36
phase2,merged,4,5,376.24
phase2,merged,4,6,0.26
phase2,merged,4,7,0.06
phase2,merged,4,8,2384.57
phase2,merged,4,9,0.14
phase2,merged,4,10,0.12
phase2,merged,4,11,0.06
phase2,merged,4,12,3213.01
phase2,merged,4,13,0.07
phase2,merged,4,14,0.03
phase2,merged,4,15,0.04
phase2,merged,4,16,1115.56
phase2,merged,4,17,0.29
phase2,merged,4,18,0.08
phase2,merged,4,19,0.02
phase2,merged,4,20,1119.47
phase2,merged,4,21,0.17
phase2,merged,4,22,0.23
phase2,merged,4,23,0.09
phase2,merged,4,24,963.13
phase2,merged,4,25,0.10
phase2,merged,4,26,0.14
phase2,merged,4,27,0.03
phase2,merged,4,28,3154.95
phase2,merged,4,29,0.10
phase2,merged,4,30,0.06
phase2,merged,4,31,0.03
phase2,merged,4,32,1045.30
phase2,merged,4,33,0.10
phase2,merged,4,34,0.13
phase2,merged,4,35,0.25
phase2,merged,4,36,1065.29
phase2,merged,4,37,0.10
phase2,merged,4,38,0.25
phase2,merged,4,39,0.13
phase2,merged,4,40,1093.34
phase2,merged,4,41,0.19
phase2,merged,4,42,0.05
phase2,merged,4,43,0.13
phase2,merged,4,44,911.01
phase2,merged,4,45,0.10
phase2,merged,4,46,0.03
phase2,merged,4,47,0.02
phase2,merged,4,48,1061.50
phase2,merged,4,49,0.10
phase2,merged,4,50,0.04
phase2,merged,4,51,0.13
phase2,merged,4,52,1007.55
phase2,merged,4,53,0.10
phase2,merged,4,54,0.03
phase2,merged,4,55,0.02
phase2,merged,4,56,1094.96
phase2,merged,4,57,0.21
phase2,merged,4,58,0.05
phase2,merged,4,59,0.03
phase2,merged,4,60,941.59
phase2,merged,4,61,0.23
phase2,merged,4,62,0.09
phase2,merged,4,63,0.03
phase2,merged,4,64,999.24
phase2,merged,4,65,0.13
phase2,merged,4,66,0.10
phase2,merged,4,67,0.09
phase2,merged,4,68,915.88
phase2,merged,4,69,0.20
phase2,merged,4,70,0.05
phase2,merged,4,71,0.18
phase2,merged,4,72,981.88
phase2,merged,4,73,0.13
phase2,merged,4,74,0.03
phase2,merged,4,75,0.08
phase2,merged,4,76,1033.47
phase2,merged,4,77,0.07
phase2,merged,4,78,0.03
phase2,merged,4,79,0.06
phase2,single,12,0,12876.20
phase2,single,12,1,1638.23
phase2,single,12,2,0.08
phase2,single,12,3,0.12
phase2,single,12,4,0.11
phase2,single,12,5,0.20
phase2,single,12,6,0.09
phase2,single,12,7,0.03
phase2,single,12,8,0.07
phase2,single,12,9,0.17
phase2,single,12,10,0.07
phase2,single,12,11,0.02
phase2,single,12,12,12298.17
phase2,single,12,13,0.19
phase2,single,12,14,0.06
phase2,single,12,15,0.04
phase2,single,12,16,0.22
phase2,single,12,17,0.09
phase2,single,12,18,0.06
phase2,single,12,19,0.03
phase2,single,12,20,298.51
phase2,single,12,21,0.15
phase2,single,12,22,0.10
phase2,single,12,23,0.17
phase2,single,12,24,10659.17
phase2,single,12,25,1556.29
phase2,single,12,26,0.18
phase2,single,12,27,1873.89
phase2,single,12,28,0.09
phase2,single,12,29,0.24
phase2,single,12,30,0.03
phase2,single,12,31,0.29
phase2,single,12,32,6148.94
phase2,single,12,33,0.16
phase2,single,12,34,0.14
phase2,single,12,35,0.05
phase2,single,12,36,3248.01
phase2,single,12,37,376.72
phase2,single,12,38,893.87
phase2,single,12,39,784.34
phase2,single,12,40,0.07
phase2,single,12,41,0.21
phase2,single,12,42,0.13
phase2,single,12,43,0.09
phase2,single,12,44,6524.72
phase2,single,12,45,0.48
phase2,single,12,46,0.05
phase2,single,12,47,0.11
phase2,single,12,48,3405.47
phase2,single,12,49,0.14
phase2,single,12,50,354.41
phase2,single,12,51,1274.97
phase2,single,12,52,0.19
phase2,single,12,53,0.13
phase2,single,12,54,0.09
phase2,single,12,55,0.09
phase2,single,12,56,6251.35
phase2,single,12,57,0.20
phase2,single,12,58,0.03
phase2,single,12,59,0.02
phase2,single,12,60,4145.93
phase2,single,12,61,0.18
phase2,single,12,62,1913.69
phase2,single,12,63,0.16
phase2,single,12,64,0.03
phase2,single,12,65,0.18
phase2,single,12,66,0.11
phase2,single,12,67,0.06
phase2,single,12,68,5207.99
phase2,single,12,69,0.14
phase2,single,12,70,0.07
phase2,single,12,71,0.06
phase2,single,12,72,4052.36
phase2,single,12,73,0.18
phase2,single,12,74,1682.84
phase2,single,12,75,79.80
phase2,single,12,76,0.09
phase2,single,12,77,0.12
phase2,single,12,78,0.18
phase2,single,12,79,0.10
phase2,merged,12,0,1655.45
phase2,merged,12,1,325.81
phase2,merged,12,2,0.28
phase2,merged,12,3,28.96
phase2,merged,12,4,2796.66
phase2,merged,12,5,0.08
phase2,merged,12,6,0.16
phase2,merged,12,7,0.03
phase2,merged,12,8,0.17
phase2,merged,12,9,0.05
phase2,merged,12,10,0.03
phase2,merged,12,11,0.24
phase2,merged,12,12,0.07
phase2,merged,12,13,0.02
phase2,merged,12,14,0.18
phase2,merged,12,15,0.10
phase2,merged,12,16,2475.20
phase2,merged,12,17,0.10
phase2,merged,12,18,0.03
phase2,merged,12,19,0.03
phase2,merged,12,20,0.23
phase2,merged,12,21,0.06
phase2,merged,12,22,0.35
phase2,merged,12,23,0.02
phase2,merged,12,24,0.16
phase2,merged,12,25,0.02
phase2,merged,12,26,0.02
phase2,merged,12,27,0.02
phase2,merged,12,28,1203.34
phase2,merged,12,29,0.35
phase2,merged,12,30,0.13
phase2,merged,12,31,0.08
phase2,merged,12,32,0.05
phase2,merged,12,33,0.08
phase2,merged,12,34,0.13
phase2,merged,12,35,0.23
phase2,merged,12,36,0.22
phase2,merged,12,37,0.08
phase2,merged,12,38,0.27
phase2,merged,12,39,0.04
phase2,merged,12,40,1305.18
phase2,merged,12,41,0.07
phase2,merged,12,42,0.08
phase2,merged,12,43,0.15
phase2,merged,12,44,0.02
phase2,merged,12,45,0.16
phase2,merged,12,46,0.02
phase2,merged,12,47,0.02
phase2,merged,12,48,0.15
phase2,merged,12,49,0.04
phase2,merged,12,50,1070.11
phase2,merged,12,51,0.15
phase2,merged,12,52,2836.15
phase2,merged,12,53,0.08
phase2,merged,12,54,0.03
phase2,merged,12,55,0.18
phase2,merged,12,56,0.06
phase2,merged,12,57,0.10
phase2,merged,12,58,0.28
phase2,merged,12,59,0.03
phase2,merged,12,60,0.15
phase2,merged,12,61,0.06
phase2,merged,12,62,0.03
phase2,merged,12,63,0.03
phase2,merged,12,64,2745.29
phase2,merged,12,65,0.17
phase2,merged,12,66,0.05
phase2,merged,12,67,0.09
phase2,merged,12,68,0.10
phase2,merged,12,69,0.03
phase2,merged,12,70,0.20
phase2,merged,12,71,0.23
phase2,merged,12,72,0.04
phase2,merged,12,73,0.05
phase2,merged,12,74,0.02
phase2,merged,12,75,0.20
phase2,merged,12,76,1099.55
phase2,merged,12,77,0.27
phase2,merged,12,78,0.34
phase2,merged,12,79,0.11
