arm,store,sample_idx,chunk_key,wall_us
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdf/10.7.52,24065.40
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3nfx/10.7.53,25469.46
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdn/10.7.52,18350.47
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,range/10.7.53,31668.36
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdn/10.7.53,28218.18
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdf/10.7.53,33311.94
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4per/10.7.52,24652.99
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secma/10.7.53,30236.66
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,urban/10.7.52,29860.62
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,range/10.7.52,33475.91
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3per/10.7.53,36640.90
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4ann/10.7.52,30367.76
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primn/10.6.53,22647.86
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3per/10.7.52,30568.32
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secmb/10.7.53,36755.92
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primn/10.7.52,33709.21
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3ann/10.7.53,37463.32
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primn/10.6.52,21281.63
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,pastr/10.7.52,35192.16
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secmb/10.7.52,33669.28
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primf/10.7.52,37218.34
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3ann/10.7.52,31326.70
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secma/10.7.52,34550.22
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3nfx/10.7.52,32684.50
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdf/10.6.52,25177.77
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4per/10.6.53,26103.78
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4per/10.6.52,23986.01
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,pastr/10.6.53,28996.74
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdn/10.6.53,25707.50
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,urban/10.6.53,25182.46
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4ann/10.6.53,33212.82
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdf/10.6.53,36805.15
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secmb/10.6.53,30967.86
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primf/10.6.52,35007.22
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secmb/10.6.52,28028.79
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3per/10.6.53,35325.55
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,range/10.6.53,38584.76
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3nfx/10.6.53,34490.08
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secma/10.6.53,39097.85
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primf/10.6.53,39109.71
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,urban/10.6.52,30366.34
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secma/10.6.52,30409.08
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3ann/10.6.52,28899.58
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4ann/10.6.52,35745.15
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3ann/10.6.53,35831.41
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,secdn/10.6.52,32999.94
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3per/10.6.52,37234.11
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,pastr/10.6.52,42127.50
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,range/10.6.52,47006.70
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c3nfx/10.6.52,36020.86
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,number_of_people/10.6.52,26150.08
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,number_of_people/10.7.53,27260.79
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,number_of_people/10.7.52,29003.90
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,number_of_people/10.6.53,26319.88
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,kg_class/10.7.53,17827.87
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,kg_class/10.7.52,19169.06
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,kg_class/10.6.52,19717.00
