START TIME: Wed Jun 24 20:25:19 CEST 2026
idx,tensor,max_abs_diff,equal
9426184,x_hilda,0.000e+00,True
9426184,targets,0.000e+00,True
2974553,x_continuous,0.000e+00,True
2974553,x_kg,0.000e+00,True
2974553,x_static,0.000e+00,True
2974553,x_hilda,0.000e+00,True
2974553,targets,0.000e+00,True
12778548,x_continuous,0.000e+00,True
12778548,x_kg,0.000e+00,True
12778548,x_static,0.000e+00,True
12778548,x_hilda,0.000e+00,True
12778548,targets,0.000e+00,True
7681409,x_continuous,0.000e+00,True
7681409,x_kg,0.000e+00,True
7681409,x_static,0.000e+00,True
7681409,x_hilda,0.000e+00,True
7681409,targets,0.000e+00,True
12998483,x_continuous,0.000e+00,True
12998483,x_kg,0.000e+00,True
12998483,x_static,0.000e+00,True
12998483,x_hilda,0.000e+00,True
12998483,targets,0.000e+00,True
11836507,x_continuous,0.000e+00,True
11836507,x_kg,0.000e+00,True
11836507,x_static,0.000e+00,True
11836507,x_hilda,0.000e+00,True
11836507,targets,0.000e+00,True
1160558,x_continuous,0.000e+00,True
1160558,x_kg,0.000e+00,True
1160558,x_static,0.000e+00,True
1160558,x_hilda,0.000e+00,True
1160558,targets,0.000e+00,True
8834491,x_continuous,0.000e+00,True
8834491,x_kg,0.000e+00,True
8834491,x_static,0.000e+00,True
8834491,x_hilda,0.000e+00,True
8834491,targets,0.000e+00,True
12470214,x_continuous,0.000e+00,True
12470214,x_kg,0.000e+00,True
12470214,x_static,0.000e+00,True
12470214,x_hilda,0.000e+00,True
12470214,targets,0.000e+00,True
9035691,x_continuous,0.000e+00,True
9035691,x_kg,0.000e+00,True
9035691,x_static,0.000e+00,True
9035691,x_hilda,0.000e+00,True
9035691,targets,0.000e+00,True
1328636,x_continuous,0.000e+00,True
1328636,x_kg,0.000e+00,True
1328636,x_static,0.000e+00,True
1328636,x_hilda,0.000e+00,True
1328636,targets,0.000e+00,True
9904903,x_continuous,0.000e+00,True
9904903,x_kg,0.000e+00,True
9904903,x_static,0.000e+00,True
9904903,x_hilda,0.000e+00,True
9904903,targets,0.000e+00,True
3377582,x_continuous,0.000e+00,True
3377582,x_kg,0.000e+00,True
3377582,x_static,0.000e+00,True
3377582,x_hilda,0.000e+00,True
3377582,targets,0.000e+00,True
9875490,x_continuous,0.000e+00,True
9875490,x_kg,0.000e+00,True
9875490,x_static,0.000e+00,True
9875490,x_hilda,0.000e+00,True
9875490,targets,0.000e+00,True
8861389,x_continuous,0.000e+00,True
8861389,x_kg,0.000e+00,True
8861389,x_static,0.000e+00,True
8861389,x_hilda,0.000e+00,True
8861389,targets,0.000e+00,True
232528,x_continuous,0.000e+00,True
232528,x_kg,0.000e+00,True
232528,x_static,0.000e+00,True
232528,x_hilda,0.000e+00,True
232528,targets,0.000e+00,True
9371555,x_continuous,0.000e+00,True
9371555,x_kg,0.000e+00,True
9371555,x_static,0.000e+00,True
9371555,x_hilda,0.000e+00,True
9371555,targets,0.000e+00,True
8618033,x_continuous,0.000e+00,True
8618033,x_kg,0.000e+00,True
8618033,x_static,0.000e+00,True
8618033,x_hilda,0.000e+00,True
8618033,targets,0.000e+00,True
11591527,x_continuous,0.000e+00,True
11591527,x_kg,0.000e+00,True
11591527,x_static,0.000e+00,True
11591527,x_hilda,0.000e+00,True
11591527,targets,0.000e+00,True
3612547,x_continuous,0.000e+00,True
3612547,x_kg,0.000e+00,True
3612547,x_static,0.000e+00,True
3612547,x_hilda,0.000e+00,True
3612547,targets,0.000e+00,True
548865,x_continuous,0.000e+00,True
548865,x_kg,0.000e+00,True
548865,x_static,0.000e+00,True
548865,x_hilda,0.000e+00,True
548865,targets,0.000e+00,True
2350589,x_continuous,0.000e+00,True
2350589,x_kg,0.000e+00,True
2350589,x_static,0.000e+00,True
2350589,x_hilda,0.000e+00,True
2350589,targets,0.000e+00,True
3275141,x_continuous,0.000e+00,True
3275141,x_kg,0.000e+00,True
3275141,x_static,0.000e+00,True
3275141,x_hilda,0.000e+00,True
3275141,targets,0.000e+00,True
942645,x_continuous,0.000e+00,True
942645,x_kg,0.000e+00,True
942645,x_static,0.000e+00,True
942645,x_hilda,0.000e+00,True
942645,targets,0.000e+00,True
12742761,x_continuous,0.000e+00,True
12742761,x_kg,0.000e+00,True
12742761,x_static,0.000e+00,True
12742761,x_hilda,0.000e+00,True
12742761,targets,0.000e+00,True
11054339,x_continuous,0.000e+00,True
11054339,x_kg,0.000e+00,True
11054339,x_static,0.000e+00,True
11054339,x_hilda,0.000e+00,True
11054339,targets,0.000e+00,True
6743861,x_continuous,0.000e+00,True
6743861,x_kg,0.000e+00,True
6743861,x_static,0.000e+00,True
6743861,x_hilda,0.000e+00,True
6743861,targets,0.000e+00,True
3289564,x_continuous,0.000e+00,True
3289564,x_kg,0.000e+00,True
3289564,x_static,0.000e+00,True
3289564,x_hilda,0.000e+00,True
3289564,targets,0.000e+00,True

--- per-tensor max |diff| over 100 samples ---
  x_continuous   max_abs_diff=0.000e+00
  x_kg           max_abs_diff=0.000e+00
  x_static       max_abs_diff=0.000e+00
  x_hilda        max_abs_diff=0.000e+00
  targets        max_abs_diff=0.000e+00

PARITY: PASS
END TIME: Wed Jun 24 20:26:19 CEST 2026
