store,pass,worker,sample,wall_ms
A,1,3,50,537.00
A,1,3,51,610.85
A,1,3,52,661.01
A,1,3,53,521.82
A,1,3,54,581.23
A,1,3,55,756.66
A,1,3,56,614.03
A,1,3,57,774.97
A,1,3,58,672.71
A,1,3,59,812.70
A,1,3,60,603.73
A,1,3,61,660.97
A,1,3,62,567.47
A,1,3,63,565.71
A,1,3,64,813.82
A,1,3,65,605.68
A,1,3,66,639.78
A,1,3,67,644.95
A,1,3,68,579.33
A,1,3,69,589.62
A,1,3,70,461.35
A,1,3,71,514.98
A,1,3,72,513.00
A,1,3,73,545.55
A,1,3,74,492.58
A,1,3,75,601.46
A,1,3,76,505.99
A,1,3,77,642.21
A,1,3,78,639.31
A,1,3,79,618.33
A,1,3,80,615.73
A,1,3,81,672.20
A,1,3,82,540.04
A,1,3,83,445.00
A,1,3,84,477.56
A,1,3,85,470.12
A,1,3,86,508.12
A,1,3,87,693.56
A,1,3,88,425.85
A,1,3,89,486.92
A,1,3,90,547.69
A,1,3,91,607.60
A,1,3,92,576.84
A,1,3,93,572.61
A,1,3,94,497.46
A,1,3,95,587.28
A,1,3,96,554.56
A,1,3,97,449.61
A,1,3,98,544.89
A,1,3,99,537.73
A,1,4,0,923.43
A,1,4,1,831.92
A,1,4,2,906.08
A,1,4,3,813.05
A,1,4,4,858.41
A,1,4,5,681.81
A,1,4,6,789.51
A,1,4,7,804.34
A,1,4,8,758.19
A,1,4,9,713.27
A,1,4,10,848.72
A,1,4,11,705.04
A,1,4,12,752.79
A,1,4,13,645.68
A,1,4,14,840.44
A,1,4,15,679.94
A,1,4,16,630.41
A,1,4,17,650.96
A,1,4,18,898.34
A,1,4,19,712.83
A,1,4,20,575.76
A,1,4,21,654.59
A,1,4,22,715.78
A,1,4,23,756.73
A,1,4,24,682.95
A,1,4,25,694.91
A,1,4,26,672.97
A,1,4,27,654.70
A,1,4,28,2579.57
A,1,4,29,628.00
A,1,4,30,591.48
A,1,4,31,584.78
A,1,4,32,731.04
A,1,4,33,685.33
A,1,4,34,525.64
A,1,4,35,662.28
A,1,4,36,635.39
A,1,4,37,587.97
A,1,4,38,577.20
A,1,4,39,549.23
A,1,4,40,658.47
A,1,4,41,752.76
A,1,4,42,658.80
A,1,4,43,595.34
A,1,4,44,723.35
A,1,4,45,615.80
A,1,4,46,569.85
A,1,4,47,673.02
A,1,4,48,642.50
A,1,4,49,680.35
A,1,4,50,603.44
A,1,4,51,656.53
A,1,4,52,554.40
A,1,4,53,601.84
A,1,4,54,460.31
A,1,4,55,648.28
A,1,4,56,581.45
A,1,4,57,630.62
A,1,4,58,667.78
A,1,4,59,696.12
A,1,4,60,645.46
A,1,4,61,649.92
A,1,4,62,617.05
A,1,4,63,587.25
A,1,4,64,711.51
A,1,4,65,560.97
A,1,4,66,608.73
A,1,4,67,499.18
A,1,4,68,659.44
A,1,4,69,593.81
A,1,4,70,589.73
A,1,4,71,524.83
A,1,4,72,633.49
A,1,4,73,508.34
A,1,4,74,540.89
A,1,4,75,543.62
A,1,4,76,569.25
A,1,4,77,653.65
A,1,4,78,643.93
A,1,4,79,715.91
A,1,4,80,659.43
A,1,4,81,571.30
A,1,4,82,564.44
A,1,4,83,667.46
A,1,4,84,731.99
A,1,4,85,428.62
A,1,4,86,500.91
A,1,4,87,535.19
A,1,4,88,796.95
A,1,4,89,603.51
A,1,4,90,586.94
A,1,4,91,652.38
A,1,4,92,583.09
A,1,4,93,631.58
A,1,4,94,612.37
A,1,4,95,609.11
A,1,4,96,532.37
A,1,4,97,500.05
A,1,4,98,716.40
A,1,4,99,555.59
A,1,5,0,855.59
A,1,5,1,805.87
A,1,5,2,822.65
A,1,5,3,833.00
A,1,5,4,836.41
A,1,5,5,738.50
A,1,5,6,748.51
A,1,5,7,835.13
A,1,5,8,828.82
A,1,5,9,768.29
A,1,5,10,716.61
A,1,5,11,849.13
A,1,5,12,727.49
A,1,5,13,759.96
A,1,5,14,778.15
A,1,5,15,723.02
A,1,5,16,725.74
A,1,5,17,804.60
A,1,5,18,687.13
A,1,5,19,725.16
A,1,5,20,769.33
A,1,5,21,719.55
A,1,5,22,682.52
A,1,5,23,639.35
A,1,5,24,644.73
A,1,5,25,662.44
A,1,5,26,721.73
A,1,5,27,663.67
A,1,5,28,647.14
A,1,5,29,1555.47
