index,tensor,candidate,shape,ok,max_diff,mean_diff,n_mismatched,cand_min,cand_max,ref_min,ref_max,cand_uniq,ref_uniq
3643450,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,5.0,29.0,5.0,29.0,"[5.0, 7.0, 23.0, 29.0]","[5.0, 7.0, 23.0, 29.0]"
3643450,x_static,new,"(6, 256, 256)",False,3314.0342730283737,320.1322630156607,393124,0.0,3316.0,-2.1888580322265625,4.205671787261963,,
3643450,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,2.0,7.0,2.0,7.0,,
3643450,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,2.0,7.0,2.0,7.0,"[2.0, 3.0, 4.0, 6.0, 7.0]","[2.0, 3.0, 4.0, 6.0, 7.0]"
3643450,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,0.11060547222210457,393216,-0.7479886412620544,3.2052767276763916,-18.42068099975586,3.163884162902832,,
3643450,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,5.0,29.0,5.0,29.0,"[5.0, 7.0, 23.0, 29.0]","[5.0, 7.0, 23.0, 29.0]"
3643450,x_static,preprocessed,"(6, 256, 256)",False,3.1888580322265625,0.25065188369655894,131113,-1.7849615812301636,4.205671787261963,-2.1888580322265625,4.205671787261963,,
3643450,x_hilda_prior,preprocessed,"(1, 256, 256)",False,5.0,3.432952880859375,65143,7.0,7.0,2.0,7.0,,
3643450,hilda_target,preprocessed,"(2, 256, 256)",False,5.0,3.3929443359375,130286,7.0,7.0,2.0,7.0,[7.0],"[2.0, 3.0, 4.0, 6.0, 7.0]"
2909382,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,6.799340127964608e-10,0,-18.42068099975586,10.095672607421875,-18.42068099975586,10.095672607421875,,
2909382,x_kg,new,"(2, 1, 256, 256)",False,31.0,12.394134521484375,52404,0.0,3.0,2.0,31.0,"[0.0, 2.0, 3.0]","[2.0, 3.0, 31.0]"
2909382,x_static,new,"(6, 256, 256)",False,3397.4345186948776,132.0233741196852,261400,-3398.0,533.0,-2.753556251525879,4.344421863555908,,
2909382,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,,
2909382,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2909382,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,0.4588032027061698,392326,-0.7534939646720886,10.09571361541748,-18.42068099975586,10.095672607421875,,
2909382,x_kg,preprocessed,"(2, 1, 256, 256)",False,31.0,12.394134521484375,52404,0.0,3.0,2.0,31.0,"[0.0, 2.0, 3.0]","[2.0, 3.0, 31.0]"
2909382,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,0.761919542094327,236572,-3.296881675720215,4.344421863555908,-2.753556251525879,4.344421863555908,,
2909382,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,1.8341827392578125,38663,0.0,7.0,0.0,7.0,,
