START TIME: Thu Jun 11 15:23:45 CEST 2026
Master: as06r4b26:29500
Launch command: uv run accelerate launch     --multi_gpu     --num_processes $(( 1 * 4 ))     --num_machines 1     --machine_rank ${SLURM_PROCID}     --main_process_ip as06r4b26     --main_process_port 29500     --mixed_precision bf16     --dynamo_backend no     /gpfs/scratch/bsc32/bsc096444/ai4land-tfm/src/ai4land/training/train.py     --config-name debug-single     system.slurm_job_id=41654672     training.resume.path=
[2026-06-11 15:25:16,789][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-11 15:25:16,792][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-11 15:25:22,283][root][INFO] - Train: 4480000 samples, Val: 640000 samples
[2026-06-11 15:25:23,720][root][INFO] - Starting training from epoch 1
[2026-06-11 15:27:38,957][root][INFO] - Epoch [1/1], Batch [48/200], Loss: 1.6595 (Overall: 1.2517, Change: 1.7368), TF Ratio: 0.990
[2026-06-11 15:27:39,111][root][INFO] - Epoch [1/1], Batch [49/200], Loss: 1.6482 (Overall: 1.0216, Change: 1.1878), TF Ratio: 0.990
[2026-06-11 15:27:39,265][root][INFO] - Epoch [1/1], Batch [50/200], Loss: 1.6434 (Overall: 1.1319, Change: 1.6842), TF Ratio: 0.990
[2026-06-11 15:27:39,418][root][INFO] - Epoch [1/1], Batch [51/200], Loss: 1.6362 (Overall: 1.0457, Change: 1.5080), TF Ratio: 0.990
[2026-06-11 15:27:51,558][root][INFO] - Epoch [1/1], Batch [52/200], Loss: 1.6405 (Overall: 1.7124, Change: 2.0119), TF Ratio: 0.990
[2026-06-11 15:27:51,714][root][INFO] - Epoch [1/1], Batch [53/200], Loss: 1.6366 (Overall: 1.1844, Change: 1.6838), TF Ratio: 0.989
[2026-06-11 15:27:51,869][root][INFO] - Epoch [1/1], Batch [54/200], Loss: 1.6310 (Overall: 1.1121, Change: 1.5554), TF Ratio: 0.989
[2026-06-11 15:27:52,022][root][INFO] - Epoch [1/1], Batch [55/200], Loss: 1.6280 (Overall: 1.3242, Change: 1.6042), TF Ratio: 0.989
[2026-06-11 15:27:52,219][root][INFO] - Epoch [1/1], Batch [56/200], Loss: 1.6266 (Overall: 1.2601, Change: 1.8377), TF Ratio: 0.989
[2026-06-11 15:27:52,372][root][INFO] - Epoch [1/1], Batch [57/200], Loss: 1.6230 (Overall: 1.1484, Change: 1.6964), TF Ratio: 0.989
