candidate,index,tensor,base_shape,cand_shape,shape_match,dtype_match,n_elems,n_mismatch,max_abs_diff,exact_equal
single_256,1379075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_256,1379075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_256,1379075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,235899,3.184660494327545,False
single_256,1379075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_256,1379075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_small,1379075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_small,1379075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
merged_small,1379075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,65536,3.184660494327545,False
merged_small,1379075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_small,1379075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_big,1379075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_big,1379075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
merged_big,1379075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,65536,3.184660494327545,False
merged_big,1379075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_big,1379075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
preprocessed_small,1379075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
preprocessed_small,1379075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
preprocessed_small,1379075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,280520,3.184660494327545,False
preprocessed_small,1379075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
preprocessed_small,1379075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,True,131072,0,0.0,True
single_small,183561,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_small,183561,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_small,183561,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,352205,3.296881675720215,False
single_small,183561,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_small,183561,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_big,183561,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_big,183561,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_big,183561,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,352205,3.296881675720215,False
single_big,183561,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_big,183561,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_256,183561,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_256,183561,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_256,183561,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,352205,3.296881675720215,False
single_256,183561,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_256,183561,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_small,183561,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_small,183561,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
merged_small,183561,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,327629,3.296881675720215,False
merged_small,183561,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_small,183561,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_big,183561,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_big,183561,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
merged_big,183561,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,327629,3.296881675720215,False
merged_big,183561,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_big,183561,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
preprocessed_small,183561,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
preprocessed_small,183561,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
preprocessed_small,183561,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,393199,3.296881675720215,False
preprocessed_small,183561,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
preprocessed_small,183561,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,True,131072,0,0.0,True
single_small,337075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,2.3661726489663124,False
single_small,337075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_small,337075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,248335,3.119236946105957,False
single_small,337075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_small,337075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_big,337075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,2.3661726489663124,False
single_big,337075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_big,337075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,248335,3.119236946105957,False
single_big,337075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_big,337075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_256,337075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,2.3661726489663124,False
single_256,337075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_256,337075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,248335,3.119236946105957,False
single_256,337075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_256,337075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_small,337075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,2.3661726489663124,False
merged_small,337075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
merged_small,337075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,65537,3.119236946105957,False
merged_small,337075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_small,337075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_big,337075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,2.3661726489663124,False
merged_big,337075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
merged_big,337075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,65537,3.119236946105957,False
merged_big,337075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_big,337075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
preprocessed_small,337075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,2.3661726489663124,False
preprocessed_small,337075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
preprocessed_small,337075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,294352,3.119236946105957,False
preprocessed_small,337075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
preprocessed_small,337075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,True,131072,0,0.0,True
single_small,74043,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_small,74043,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,2478,31.0,False
single_small,74043,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,220390,3.296881675720215,False
single_small,74043,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_small,74043,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_big,74043,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_big,74043,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,2478,31.0,False
single_big,74043,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,220390,3.296881675720215,False
single_big,74043,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_big,74043,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
