var,chunk_file,size_bytes
dynamic/data,0.1.9.69,71960
dynamic/data,0.11.24.34,71960
dynamic/data,0.11.19.61,454397
dynamic/data,0.3.24.20,757396
dynamic/data,0.10.22.57,3794592
dynamic/data,0.11.5.44,3436533
dynamic/data,0.1.15.35,8614188
dynamic/data,0.2.13.64,71960
dynamic/data,0.15.16.16,71960
dynamic/data,0.11.3.30,1034277
dynamic/data,0.13.32.69,71960
dynamic/data,0.8.2.28,71960
dynamic/data,0.3.28.5,71960
dynamic/data,0.15.35.58,71990
dynamic/data,0.3.24.14,71960
dynamic/data,0.1.20.10,71960
dynamic/data,0.10.17.7,71960
dynamic/data,0.1.10.59,2123610
dynamic/data,0.11.30.36,71960
dynamic/data,0.9.35.30,71980
dynamic/data,0.7.11.13,6999687
dynamic/data,0.13.28.53,71960
dynamic/data,0.14.1.22,469968
dynamic/data,0.8.29.54,71960
dynamic/data,0.14.13.27,71960
dynamic/data,0.1.26.48,71960
dynamic/data,0.11.16.48,71960
dynamic/data,0.4.13.17,3329186
dynamic/data,0.9.8.60,8702303
dynamic/data,0.2.23.12,71960
dynamic/data,0.6.21.7,83647
dynamic/data,0.9.28.16,71960
dynamic/data,0.12.11.4,71960
dynamic/data,0.11.35.33,71980
dynamic/data,0.7.0.42,71960
dynamic/data,0.13.17.52,71960
dynamic/data,0.13.14.34,6056016
dynamic/data,0.13.22.58,5032875
dynamic/data,0.13.1.33,71960
dynamic/data,0.1.35.20,71980
dynamic/data,0.12.12.22,71960
dynamic/data,0.11.12.62,82595
dynamic/data,0.9.25.58,71960
dynamic/data,0.6.28.10,71960
dynamic/data,0.0.1.65,71960
dynamic/data,0.4.11.3,71960
dynamic/data,0.13.22.39,5826491
dynamic/data,0.14.12.35,604806
dynamic/data,0.15.9.56,5876412
dynamic/data,0.0.3.44,71960
dynamic/data,0.8.10.52,4159655
dynamic/data,0.7.19.45,72111
dynamic/data,0.7.25.29,71960
dynamic/data,0.11.32.46,71960
dynamic/data,0.9.25.49,71960
dynamic/data,0.10.19.47,71960
dynamic/data,0.0.27.13,71960
dynamic/data,0.0.5.23,71960
dynamic/data,0.6.17.55,5039887
dynamic/data,0.13.18.17,71960
dynamic/data,0.6.34.69,79786
dynamic/data,0.4.21.6,72960
dynamic/data,0.6.1.67,71960
dynamic/data,0.5.7.69,74846
dynamic/data,0.13.32.32,74758
dynamic/data,0.6.2.47,196648
dynamic/data,0.9.5.24,76897
dynamic/data,0.13.26.51,71960
dynamic/data,0.4.20.22,8595972
dynamic/data,0.13.5.39,4939621
dynamic/data,0.10.29.42,71960
dynamic/data,0.8.30.17,71960
dynamic/data,0.6.3.27,71960
dynamic/data,0.4.31.9,71960
dynamic/data,0.2.31.35,79784
dynamic/data,0.1.9.26,71960
dynamic/data,0.0.32.15,81102
dynamic/data,0.11.34.23,71960
dynamic/data,0.11.34.29,71960
dynamic/data,0.6.13.24,71960
dynamic/data,0.2.22.70,72152
dynamic/data,0.8.2.13,434997
dynamic/data,0.15.3.1,71960
dynamic/data,0.11.18.5,71960
dynamic/data,0.13.22.44,2376759
dynamic/data,0.9.20.49,71960
dynamic/data,0.15.25.7,71960
dynamic/data,0.13.13.45,2090005
dynamic/data,0.2.12.32,1545886
dynamic/data,0.12.16.34,5494123
dynamic/data,0.13.27.16,71960
dynamic/data,0.5.34.66,71960
dynamic/data,0.15.14.54,8045530
dynamic/data,0.1.32.10,77098
dynamic/data,0.9.10.70,72152
dynamic/data,0.9.18.32,71960
dynamic/data,0.2.1.48,71960
dynamic/data,0.11.20.60,4782716
dynamic/data,0.10.16.50,1134384
dynamic/data,0.14.25.50,72042
dynamic/data,0.11.6.33,1855514
dynamic/data,0.0.6.39,5580256
dynamic/data,0.6.23.21,6322216
dynamic/data,0.15.14.30,209307
dynamic/data,0.3.12.25,71960
dynamic/data,0.13.17.23,5933638
dynamic/data,0.6.9.54,4444773
dynamic/data,0.12.18.57,2913987
dynamic/data,0.9.35.44,71980
dynamic/data,0.10.22.3,71960
dynamic/data,0.12.20.48,71960
dynamic/data,0.4.35.14,71980
dynamic/data,0.0.8.18,4868911
dynamic/data,0.0.18.35,71960
dynamic/data,0.8.28.19,71960
dynamic/data,0.14.22.2,71960
dynamic/data,0.10.2.36,71960
dynamic/data,0.10.23.22,8024704
dynamic/data,0.3.34.19,71960
dynamic/data,0.5.27.25,71960
dynamic/data,0.0.15.60,71960
dynamic/data,0.10.9.44,6068115
dynamic/data,0.13.33.29,80574
dynamic/data,0.14.4.33,71960
dynamic/data,0.3.17.30,71960
dynamic/data,0.1.24.12,71960
dynamic/data,0.9.22.25,8293711
dynamic/data,0.5.25.27,71960
dynamic/data,0.14.14.47,71960
dynamic/data,0.12.2.12,453381
dynamic/data,0.11.25.14,71960
dynamic/data,0.3.13.39,641109
dynamic/data,0.15.2.3,71960
dynamic/data,0.0.14.63,74826
dynamic/data,0.6.27.35,71960
dynamic/data,0.6.26.28,71960
dynamic/data,0.8.33.70,72152
dynamic/data,0.14.2.67,71960
dynamic/data,0.3.33.22,89454
dynamic/data,0.13.4.35,71960
dynamic/data,0.9.12.59,139739
dynamic/data,0.12.30.28,71960
dynamic/data,0.1.34.4,74748
dynamic/data,0.2.5.46,4057732
dynamic/data,0.0.21.17,71960
dynamic/data,0.2.35.61,71980
dynamic/data,0.4.10.26,71960
dynamic/data,0.14.15.10,71960
dynamic/data,0.7.7.9,1170835
dynamic/data,0.15.33.59,71960
dynamic/data,0.10.3.6,205262
dynamic/data,0.15.23.60,343166
dynamic/data,0.3.31.50,75608
dynamic/data,0.6.35.53,71980
dynamic/data,0.3.33.4,85332
dynamic/data,0.13.10.60,3476556
dynamic/data,0.1.1.8,71960
dynamic/data,0.3.19.64,1470076
dynamic/data,0.1.5.55,3181478
dynamic/data,0.14.28.51,71960
dynamic/data,0.2.28.67,71960
dynamic/data,0.5.1.30,575860
dynamic/data,0.12.11.34,5925991
dynamic/data,0.10.2.22,378338
dynamic/data,0.4.20.5,74090
dynamic/data,0.15.1.5,71960
dynamic/data,0.14.28.8,71960
dynamic/data,0.12.33.34,71960
dynamic/data,0.4.7.52,7914179
dynamic/data,0.12.7.17,5293773
dynamic/data,0.11.33.14,71960
dynamic/data,0.3.15.32,6758863
dynamic/data,0.1.10.35,4504572
dynamic/data,0.0.25.64,683396
dynamic/data,0.15.5.23,71960
dynamic/data,0.8.2.12,453234
dynamic/data,0.3.28.27,76702
dynamic/data,0.4.35.29,71980
dynamic/data,0.9.29.9,71960
dynamic/data,0.3.20.8,72180
dynamic/data,0.0.20.53,71960
dynamic/data,0.4.30.8,71960
dynamic/data,0.0.20.57,71960
dynamic/data,0.2.23.19,71960
dynamic/data,0.11.15.32,6722874
dynamic/data,0.8.13.67,72090
dynamic/data,0.4.8.55,5548813
dynamic/data,0.1.14.34,6118435
dynamic/data,0.3.9.49,8235996
dynamic/data,0.0.0.54,71960
dynamic/data,0.9.7.40,8856913
dynamic/data,0.2.9.44,6138037
dynamic/data,0.6.0.56,71960
dynamic/data,0.0.32.28,81022
dynamic/data,0.7.0.23,71960
dynamic/data,0.1.1.27,421864
dynamic/data,0.15.16.51,578574
dynamic/data,0.9.31.42,80864
dynamic/data,0.12.30.62,76406
dynamic/data,0.13.15.27,71960
dynamic/data,0.7.22.50,71960
dynamic/data,0.4.16.17,71960
dynamic/data,0.15.28.70,72152
dynamic/data,0.6.1.36,71960
dynamic/data,0.0.0.0,71960
dynamic/data,0.10.12.29,71960
dynamic/data,0.3.15.20,4720586
dynamic/data,0.7.34.17,71960
dynamic/data,0.4.9.58,7016366
dynamic/data,0.6.27.20,3346423
dynamic/data,0.1.15.34,8947770
dynamic/data,0.6.2.16,573007
dynamic/data,0.12.3.31,133140
dynamic/data,0.5.32.68,73348
