store,worker,sample,wall_ms
A,6,29,286.95
A,6,30,281.73
A,6,31,271.85
A,6,32,341.15
A,6,33,360.95
A,6,34,298.03
A,6,35,339.12
A,6,36,404.23
A,6,37,389.83
A,6,38,291.83
A,6,39,2200.07
A,6,40,405.14
A,6,41,316.82
A,6,42,439.71
A,6,43,292.74
A,6,44,242.38
A,6,45,298.97
A,6,46,321.15
A,6,47,307.22
A,6,48,257.11
A,6,49,435.75
A,6,50,413.88
A,6,51,393.94
A,6,52,312.54
A,6,53,347.64
A,6,54,257.43
A,6,55,237.66
A,6,56,318.76
A,6,57,266.12
A,6,58,286.29
A,6,59,319.40
A,6,60,473.22
A,6,61,359.11
A,6,62,261.86
A,6,63,202.99
A,6,64,322.41
A,6,65,248.86
A,6,66,175.69
A,6,67,203.63
A,6,68,366.90
A,6,69,176.86
A,6,70,431.51
A,6,71,251.46
A,6,72,487.43
A,6,73,736.37
A,6,74,311.12
A,6,75,239.13
A,6,76,259.39
A,6,77,160.50
A,6,78,239.94
A,6,79,345.52
A,6,80,200.88
A,6,81,333.67
A,6,82,178.98
A,6,83,280.81
A,6,84,341.32
A,6,85,315.76
A,6,86,247.11
A,6,87,315.51
A,6,88,219.36
A,6,89,306.02
A,6,90,279.51
A,6,91,311.88
A,6,92,192.34
A,6,93,288.12
A,6,94,259.28
A,6,95,211.28
A,6,96,198.40
A,6,97,288.37
A,6,98,224.00
A,6,99,219.86
A,7,0,394.74
A,7,1,408.29
A,7,2,503.43
A,7,3,318.28
A,7,4,411.01
A,7,5,416.08
A,7,6,414.20
A,7,7,367.30
A,7,8,439.87
A,7,9,395.46
A,7,10,493.10
A,7,11,453.10
A,7,12,366.57
A,7,13,390.44
A,7,14,352.81
A,7,15,361.99
A,7,16,511.37
A,7,17,378.03
A,7,18,399.74
A,7,19,274.02
A,7,20,295.52
A,7,21,500.12
A,7,22,328.81
A,7,23,352.40
A,7,24,356.19
A,7,25,417.28
A,7,26,363.44
A,7,27,328.00
A,7,28,280.13
A,7,29,385.97
A,7,30,319.45
A,7,31,219.75
A,7,32,371.76
A,7,33,430.93
A,7,34,383.43
A,7,35,1327.92
A,7,36,354.41
A,7,37,331.41
A,7,38,253.52
A,7,39,490.38
A,7,40,3066.66
A,7,41,427.92
A,7,42,334.48
A,7,43,319.00
A,7,44,268.55
A,7,45,316.00
A,7,46,256.41
A,7,47,345.36
A,7,48,276.41
A,7,49,291.86
A,7,50,353.68
A,7,51,337.19
A,7,52,351.89
A,7,53,210.38
A,7,54,401.70
A,7,55,353.83
A,7,56,349.46
A,7,57,332.03
A,7,58,281.33
A,7,59,337.12
A,7,60,261.08
A,7,61,349.42
A,7,62,317.21
A,7,63,330.20
A,7,64,1994.64
A,7,65,289.23
A,7,66,405.96
A,7,67,305.36
A,7,68,345.90
A,7,69,310.28
A,7,70,343.42
A,7,71,202.93
A,7,72,317.78
A,7,73,376.26
A,7,74,217.10
A,7,75,307.06
A,7,76,221.73
A,7,77,271.01
A,7,78,368.68
A,7,79,234.93
A,7,80,282.56
A,7,81,228.94
A,7,82,188.19
A,7,83,292.12
A,7,84,293.16
A,7,85,293.14
A,7,86,233.21
A,7,87,265.48
A,7,88,2010.96
A,7,89,364.67
A,7,90,334.68
A,7,91,252.82
A,7,92,218.65
A,7,93,388.55
A,7,94,251.02
A,7,95,276.43
A,7,96,274.61
A,7,97,236.58
A,7,98,248.20
A,7,99,298.26
A,8,0,449.56
A,8,1,373.95
A,8,2,399.53
A,8,3,530.86
A,8,4,362.09
A,8,5,552.44
A,8,6,364.13
A,8,7,511.91
A,8,8,383.71
A,8,9,344.68
A,8,10,262.92
A,8,11,364.01
A,8,12,388.49
A,8,13,431.78
A,8,14,430.87
A,8,15,332.49
A,8,16,468.40
A,8,17,412.68
A,8,18,272.80
A,8,19,283.77
A,8,20,264.84
A,8,21,330.85
A,8,22,415.40
A,8,23,307.12
A,8,24,227.19
A,8,25,329.02
A,8,26,476.77
A,8,27,299.18
A,8,28,335.06
A,8,29,393.12
A,8,30,312.76
A,8,31,310.29
A,8,32,292.06
A,8,33,329.09
A,8,34,349.84
A,8,35,388.52
A,8,36,270.21
A,8,37,306.71
A,8,38,350.00
A,8,39,298.16
A,8,40,401.74
A,8,41,402.94
A,8,42,306.65
A,8,43,468.72
A,8,44,272.27
A,8,45,291.56
A,8,46,235.50
A,8,47,504.52
A,8,48,298.12
A,8,49,1528.88
A,8,50,238.79
A,8,51,375.46
A,8,52,1644.86
A,8,53,264.35
A,8,54,402.53
A,8,55,424.38
A,8,56,336.98
A,8,57,271.12
A,8,58,221.74
A,8,59,254.01
A,8,60,376.44
A,8,61,372.38
A,8,62,266.05
A,8,63,213.37
A,8,64,400.73
A,8,65,298.05
A,8,66,233.83
A,8,67,315.88
A,8,68,225.40
A,8,69,267.73
A,8,70,2038.35
A,8,71,278.21
