dataset,sample_idx,var,n_chunks
single,30,c4ann,8
single,30,c3per,8
single,30,urban,8
single,30,secmb,8
single,30,secma,8
single,30,secdn,8
single,30,c3nfx,8
single,30,c3ann,8
single,30,number_of_people,8
single,30,kg_class,8
single,30,weighted_PCT_SAND,4
single,30,weighted_PCT_CLAY,4
single,30,weighted_ORGANIC,4
single,30,SLOPE,4
single,30,elevation,4
single,30,ASPECT,4
single,30,LULC_states,12
single,31,range,8
single,31,secdf,8
single,31,primn,8
single,31,primf,8
single,31,pastr,8
single,31,c4per,8
single,31,c3per,8
single,31,secmb,8
single,31,urban,8
single,31,c4ann,8
single,31,secma,8
single,31,secdn,8
single,31,c3nfx,8
single,31,c3ann,8
single,31,number_of_people,8
single,31,kg_class,8
single,31,weighted_PCT_SAND,4
single,31,weighted_PCT_CLAY,4
single,31,weighted_ORGANIC,4
single,31,ASPECT,4
single,31,elevation,4
single,31,SLOPE,4
single,31,LULC_states,12
single,32,secdf,4
single,32,range,4
single,32,primn,4
single,32,primf,4
single,32,pastr,4
single,32,c4per,4
single,32,c4ann,4
single,32,c3per,4
single,32,urban,4
single,32,secmb,4
single,32,secma,4
single,32,secdn,4
single,32,c3nfx,4
single,32,c3ann,4
single,32,number_of_people,4
single,32,kg_class,4
single,32,weighted_PCT_SAND,2
single,32,elevation,2
single,32,weighted_ORGANIC,2
single,32,SLOPE,2
single,32,weighted_PCT_CLAY,2
single,32,ASPECT,2
single,32,LULC_states,6
single,33,primn,4
single,33,primf,4
single,33,range,4
single,33,secdf,4
single,33,c4ann,4
single,33,c4per,4
single,33,pastr,4
single,33,secmb,4
single,33,c3per,4
single,33,secdn,4
single,33,urban,4
single,33,secma,4
single,33,c3nfx,4
single,33,c3ann,4
single,33,number_of_people,4
single,33,kg_class,4
single,33,weighted_PCT_SAND,2
single,33,weighted_PCT_CLAY,2
single,33,weighted_ORGANIC,2
single,33,SLOPE,2
single,33,elevation,2
single,33,ASPECT,2
single,33,LULC_states,6
single,34,range,4
single,34,secdf,4
single,34,primn,4
single,34,primf,4
single,34,pastr,4
