START TIME: Fri Jun 26 07:49:05 CEST 2026
arm,sample_idx,wall_ms
multi,25,7714.964
multi,26,7799.822
multi,27,7777.743
multi,28,7811.839
multi,29,7772.485
multi,30,7940.599
multi,31,7937.634
multi,32,8750.527
multi,33,7736.833
multi,34,8393.780
multi,35,8133.969
multi,36,8277.752
multi,37,8550.867
multi,38,8299.580
multi,39,8160.161
multi,40,8190.971
multi,41,7813.559
multi,42,8102.627
multi,43,8099.424
multi,44,7950.819
multi,45,8135.619
multi,46,7897.789
multi,47,8006.062
multi,48,7845.929
multi,49,8066.766
multi,50,7943.322
multi,51,8147.988
multi,52,7892.788
multi,53,8243.956
multi,54,8076.161
multi,55,8020.200
multi,56,8072.986
multi,57,7867.937
multi,58,8677.770
multi,59,7963.484
multi,60,7854.331
multi,61,7771.509
multi,62,7973.773
multi,63,7977.796
multi,64,7984.240
multi,65,7983.905
multi,66,7940.611
multi,67,7857.481
multi,68,8165.533
multi,69,8043.503
multi,70,8062.309
multi,71,8057.804
multi,72,7987.416
multi,73,8428.120
multi,74,7851.199
multi,75,8009.131
multi,76,8011.931
multi,77,7744.535
multi,78,8026.787
multi,79,7895.046
multi,80,8114.606
multi,81,7803.669
multi,82,8028.321
multi,83,7965.693
multi,84,7875.515
multi,85,7715.943
multi,86,8534.124
multi,87,8246.067
multi,88,8263.513
multi,89,7890.103
multi,90,8583.917
multi,91,8337.118
multi,92,7984.867
multi,93,8027.369
multi,94,14725.277
multi,95,8166.036
multi,96,8321.594
multi,97,8279.911
multi,98,8116.390
multi,99,8057.459

--- summary (ms per sample) ---
  single_small   median=  1287.2 ms  mean=  1331.4 ms  min= 1071.7  max=  3672.3  cold(first10)=  1595.1  warm(last10)=  1308.1
  single_big     median=  5346.7 ms  mean=  5383.4 ms  min= 5133.2  max=  6340.8  cold(first10)=  5419.7  warm(last10)=  5433.5
  merged_small   median=   136.2 ms  mean=   134.9 ms  min=   68.1  max=   280.9  cold(first10)=   136.2  warm(last10)=   130.1
  merged_big     median=   277.2 ms  mean=   271.5 ms  min=  203.5  max=   381.0  cold(first10)=   278.2  warm(last10)=   300.6
  merged_big_raw median=    37.2 ms  mean=    41.4 ms  min=   26.8  max=    83.5  cold(first10)=    39.0  warm(last10)=    46.6
  multi          median=  7984.1 ms  mean=  8083.7 ms  min= 7715.0  max= 14725.3  cold(first10)=  7936.5  warm(last10)=  8860.0
END TIME: Fri Jun 26 08:15:10 CEST 2026
