pool_size,file_size,file_index,wall_us
10000,102400,1321,116.22
1000,1048576,145,1218.32
1000,10485760,569,3131.86
10000,10240,898,114.72
10000,102400,8150,109.77
10000,10240,3059,94.44
10000,102400,4985,118.18
10000,102400,8007,112.07
10000,10240,146,102.72
10000,102400,1522,113.52
10000,1048576,9516,711.31
10000,10240,9688,111.57
10000,10240,9994,104.98
10000,10240,7111,97.00
10000,102400,5300,127.21
10000,10240,593,96.10
10000,102400,6164,112.31
10000,10240,6702,98.27
10000,102400,4718,109.96
10000,1048576,753,886.51
10000,1048576,7862,547.55
10000,10240,2702,98.97
10,102400,7,113.16
10000,10240,6545,100.51
10000,1048576,4052,768.44
10000,1048576,2887,646.84
10000,102400,4382,127.91
10000,10240,8206,90.00
10000,10240,9765,99.12
10000,1048576,9962,749.40
10000,10240,1406,102.52
10000,10240,7849,97.60
10000,10240,9699,100.05
10000,1048576,4751,848.15
10000,10240,3515,110.77
10000,10240,5714,107.93
1000,1048576,985,705.43
10000,1048576,3504,1714.34
10000,102400,3714,130.70
10000,10240,3765,104.66
100,10240,59,112.62
10000,102400,1895,109.07
10000,10240,1595,100.04
10000,1048576,3845,770.32
10000,102400,4310,125.89
10000,10240,8001,100.75
10000,10240,6306,102.75
1000,10240,815,101.64
10000,1048576,4903,754.47
10000,102400,5024,130.14
1000,102400,495,111.96
10000,10240,5290,100.78
10000,102400,9391,117.79
1000,10240,4,112.65
10000,1048576,6502,745.65
10000,102400,3541,131.53
10000,102400,2739,117.59
10000,1048576,5371,699.05
10000,102400,3074,129.12
10000,10240,487,99.50
10000,102400,6307,121.42
10000,102400,7509,119.06
10000,10240,8475,102.41
10000,102400,5992,118.43
10000,102400,478,118.11
10000,10240,3098,105.22
1000,102400,196,119.47
1000,10240,124,100.13
10000,10240,1401,98.30
10000,1048576,5650,760.65
10000,10240,1907,110.77
10000,1048576,3521,747.90
10000,10240,4528,111.43
10000,1048576,9519,733.60
10000,10240,2251,111.65
10000,10240,9798,100.13
10000,102400,7980,119.81
10000,10240,8555,93.96
10000,102400,8543,129.68
10000,1048576,5873,704.12
10000,1048576,9483,845.09
10000,1048576,124,742.47
10000,1048576,754,684.68
10000,10240,3658,106.97
10000,1048576,3096,700.88
100,102400,69,138.43
10000,102400,1552,146.56
10000,102400,3517,128.27
10000,1048576,2963,561.03
1000,102400,181,129.31
10000,10240,8984,110.14
10000,102400,3757,126.83
1000,10485760,27,3200.55
10000,102400,4049,135.78
10000,102400,4276,141.21
1000,10485760,749,3252.17
10000,1048576,7213,547.96
10000,10240,7668,113.57
10000,1048576,2585,736.73
10000,102400,8036,140.29
10000,102400,4000,125.43
10000,10240,6710,110.04
10000,1048576,1207,775.22
10000,1048576,954,626.00
10000,10240,9355,121.10
1000,10240,41,110.37
10000,102400,1822,121.58
10000,1048576,7752,1143.42
10000,1048576,1412,6728.12
100,104857600,71,30801.23
1000,10485760,376,3726.30
10000,1048576,9528,667.83
10000,1048576,5060,590.51
10000,102400,3329,141.32
10000,10240,8704,122.54
10000,102400,14,134.96
10000,10240,9171,114.28
10000,102400,8076,124.20
10000,10240,6737,107.54
10000,102400,5021,120.03
10000,10240,5027,112.29
10000,10240,2295,104.60
10000,102400,4755,129.41
10000,10240,147,105.39
10000,1048576,3603,703.83
10000,10240,4709,116.42
10000,1048576,1900,759.21
10000,10240,8800,113.95
10000,1048576,1401,800.49
10000,102400,2414,135.99
10000,10240,2326,114.50
1000,10485760,830,1954.06
10000,102400,5701,145.60
10000,102400,6753,117.12
10000,102400,8040,124.73
10000,1048576,6710,748.67
10000,102400,3698,136.01
10000,102400,2178,132.82
10000,10240,737,111.90
10000,10240,2875,107.83
10000,102400,5428,134.03
1000,1048576,798,725.01
10000,10240,7025,118.24
10000,1048576,3938,581.98
10000,10240,4993,109.92
100,10485760,77,3895.07
10000,1048576,6441,598.70
10000,10240,6488,113.56
1000,1048576,120,31035.41
10000,10240,687,164.66
10000,1048576,2517,1017.44
10000,1048576,6212,652.49
1000,10485760,546,3900.06
10000,102400,8713,142.40
10000,10240,3667,111.62
10000,1048576,2402,590.27
